epoch;accuracy;loss;val_accuracy;val_loss
0;0.2454955;2.116203152381622;0.1145833358168602;1.9931750297546387
1;0.526464;1.2582988502743009;0.1015625;2.058845043182373
2;0.6908784;0.879196100675308;0.2265625;1.8456662893295288
3;0.8502252;0.5609951047478495;0.3541666567325592;1.5343725681304932
4;0.919482;0.39796882142891754;0.515625;1.2546063661575317
5;0.9470721;0.30950289602215225;0.6197916865348816;1.1816679239273071
6;0.9695946;0.2479402398740923;0.6119791865348816;1.0700870752334595
7;0.9786036;0.20205302153890198;0.625;1.8771791458129883
8;0.9893018;0.1547063165554055;0.6588541865348816;2.1455981731414795
9;0.9926802;0.13263160762217668;0.6901041865348816;3.087984561920166
10;0.9949324;0.11129366895100018;0.6875;2.982529640197754
11;0.9943694;0.09672000839769303;0.6796875;2.6001105308532715
12;0.9966216;0.08166952726540265;0.6875;2.384674549102783
13;0.9971847;0.07100806336615;0.703125;1.4196549654006958
14;0.9977477;0.06163759064768349;0.6927083134651184;1.793830394744873
15;0.9988739;0.05356607718712038;0.7083333134651184;0.761557936668396
16;0.9988739;0.04725368315907749;0.71875;0.8521159887313843
17;0.9988739;0.04143348810271368;0.7109375;1.444014310836792
18;1.0;0.03573836194905075;0.7395833134651184;1.1239535808563232
19;1.0;0.029702825169708277;0.7395833134651184;1.621063232421875
20;1.0;0.02677211633606537;0.7291666865348816;1.663450837135315
21;1.0;0.02231426376362776;0.7395833134651184;1.3218200206756592
22;1.0;0.021002659666444268;0.7317708134651184;1.6147229671478271
23;1.0;0.0205643238281613;0.734375;1.116530179977417
24;1.0;0.01671134339444138;0.7447916865348816;1.4789648056030273
25;1.0;0.01529182466837737;0.7473958134651184;1.3274829387664795
26;1.0;0.015451347094599728;0.7447916865348816;0.7903510332107544
27;1.0;0.013866429040963585;0.765625;1.1100903749465942
28;1.0;0.01171899636838216;0.7473958134651184;0.9418752193450928
29;1.0;0.011680094466485956;0.765625;1.1132787466049194
30;1.0;0.011054246707374716;0.7604166865348816;1.1286237239837646
31;1.0;0.00968085715404569;0.7604166865348816;0.8333731293678284
32;1.0;0.00865535256410907;0.7708333134651184;0.5063003301620483
33;1.0;0.009026367074667333;0.7604166865348816;0.8661321401596069
34;1.0;0.0077736492306497455;0.7630208134651184;1.306878924369812
35;1.0;0.006736082001798996;0.7734375;1.4264270067214966
36;1.0;0.006742445722658624;0.7734375;1.55656898021698
37;1.0;0.005707284297190003;0.7760416865348816;1.0201176404953003
38;1.0;0.0053500910415439995;0.7786458134651184;0.7618380188941956
39;1.0;0.005667872049401069;0.78125;0.4873815178871155
40;1.0;0.00464552133407041;0.7838541865348816;0.37711334228515625
41;1.0;0.004291471899361224;0.7760416865348816;0.4530423879623413
42;1.0;0.004782575452154888;0.7786458134651184;0.3000476360321045
43;1.0;0.004559410197937206;0.78125;1.012138843536377
44;1.0;0.003934546002514056;0.7838541865348816;1.0911743640899658
45;1.0;0.0038956753974612635;0.7864583134651184;0.8678957223892212
46;1.0;0.003639087178492667;0.78125;1.0397323369979858
47;1.0;0.0032162780806355112;0.7890625;0.4568748474121094
48;1.0;0.002883030899259186;0.7786458134651184;0.6403356194496155
49;1.0;0.0031027176893559526;0.7890625;0.6391384601593018
50;1.0;0.002819051691813411;0.7890625;0.7290237545967102
51;1.0;0.00243485501237415;0.7890625;1.2056134939193726
52;1.0;0.0023717160660748347;0.7942708134651184;0.9270063638687134
53;1.0;0.0022513143742364738;0.7942708134651184;1.8458032608032227
54;1.0;0.002052742453514355;0.7942708134651184;1.5010156631469727
55;1.0;0.0021002145220844395;0.7942708134651184;0.7444286942481995
56;1.0;0.001843093448687714;0.7890625;0.8719673752784729
57;1.0;0.001758612769966324;0.7916666865348816;0.37575751543045044
58;1.0;0.001833527396131005;0.796875;0.3815368711948395
59;1.0;0.0018925399950554442;0.7942708134651184;0.2977377474308014
60;1.0;0.0023943732381454326;0.7786458134651184;0.279918372631073
61;0.9977477;0.007779921240357867;0.734375;0.18239662051200867
62;0.9864865;0.05636008673238459;0.7473958134651184;0.9637284874916077
63;0.9791667;0.07974663521540729;0.7604166865348816;0.6915009021759033
64;0.9887387;0.04951922841546302;0.8203125;0.3275461196899414
65;0.9954955;0.03519613250066434;0.8411458134651184;0.2890253961086273
66;0.9977477;0.020581025180306186;0.8229166865348816;0.17544709146022797
