epoch;accuracy;loss;lr;val_accuracy;val_loss
0;0.22635135;1.8188211660127382;1e-04;0.1848958283662796;1.783156156539917
1;0.23367117;1.7713081944096196;1e-04;0.1901041716337204;1.768222689628601
2;0.23423423;1.7609431109986864;1e-04;0.1848958283662796;1.7715765237808228
3;0.23423423;1.7528049838435542;1e-04;0.1875;1.7805981636047363
4;0.2347973;1.7461555412223748;1e-04;0.1875;1.7671701908111572
5;0.2347973;1.7412971762923506;1e-04;0.1875;1.8006231784820557
6;0.23367117;1.7379461934974603;1e-04;0.2369791716337204;1.6922948360443115
7;0.2347973;1.7342043556608595;1e-04;0.2369791716337204;1.696726679801941
