epoch;accuracy;loss;lr;val_accuracy;val_loss
0;0.48085585;1.4495888884003099;1e-04;0.1640625;1.7283904552459717
1;0.7505631;0.718703480722668;1e-04;0.1692708283662796;1.6694908142089844
2;0.8654279;0.40393391936211975;1e-04;0.1666666716337204;1.9272067546844482
3;0.9121622;0.2731043617870357;1e-04;0.1484375;2.1618099212646484
4;0.9543919;0.15682506396829546;1e-04;0.1276041716337204;2.8100481033325195
5;0.9836712;0.08543647905425714;1e-04;0.1875;2.4450087547302246
6;0.9876126;0.05151292304969854;1e-04;0.1953125;2.7728652954101562
7;0.9949324;0.02827166060619224;1e-04;0.2083333283662796;3.5204930305480957
8;0.9966216;0.022428461611648468;1e-04;0.2317708283662796;5.82241153717041
9;0.9994369;0.013427845408997356;1e-04;0.2734375;4.608892440795898
10;0.9983108;0.010711313631733763;1e-04;0.3098958432674408;3.994257926940918
11;0.9994369;0.008734920778970427;1e-04;0.359375;4.631589412689209
12;1.0;0.005899996694957686;1e-04;0.3958333432674408;3.8151168823242188
13;1.0;0.0043688677623658235;1e-04;0.421875;5.012714385986328
14;1.0;0.004129104119587086;1e-04;0.46875;5.670858383178711
15;1.0;0.003107586151895088;1e-04;0.5234375;4.084347724914551
16;1.0;0.002945387007056123;1e-04;0.5807291865348816;3.833099365234375
17;1.0;0.002009554921076759;1e-04;0.6067708134651184;3.0107638835906982
18;1.0;0.0018009960164760684;1e-04;0.6380208134651184;2.845679998397827
19;1.0;0.0015235046482737268;1e-04;0.6510416865348816;3.0870399475097656
20;1.0;0.0014681968297064723;1e-04;0.6744791865348816;1.691731572151184
21;1.0;0.0013256897123479117;1e-04;0.6822916865348816;2.497857093811035
22;1.0;0.0010114576451759367;1e-04;0.6979166865348816;1.4616177082061768
23;1.0;0.0009824818163808133;1e-04;0.7005208134651184;1.5390733480453491
24;1.0;0.0008772727690541673;1e-04;0.7083333134651184;1.9160207509994507
25;1.0;0.0007941792310694828;1e-04;0.7213541865348816;1.1956216096878052
26;1.0;0.0007154778114610209;1e-04;0.7265625;1.225389003753662
27;1.0;0.000674267395371718;1e-04;0.7447916865348816;1.0880110263824463
28;1.0;0.0005606967571185197;1e-04;0.765625;1.0843861103057861
29;1.0;0.0005088612131264715;1e-04;0.7890625;0.9635862708091736
30;1.0;0.0004655826629164654;1e-04;0.796875;1.0118145942687988
