epoch;accuracy;loss;lr;val_accuracy;val_loss
0;0.36137775;1.6173424491230746;1e-04;0.40263158082962036;1.7305209636688232
1;0.59683794;1.1609289162849585;1e-04;0.4684210419654846;1.5814449787139893
2;0.69452286;0.882138491080751;1e-04;0.5894736647605896;1.4885165691375732
3;0.75945795;0.738758637769151;1e-04;0.6026315689086914;1.2111414670944214
4;0.783738;0.6352581721722642;1e-04;0.6078947186470032;1.724609136581421
5;0.8040655;0.6163372169572172;1e-04;0.7131578922271729;0.6266473531723022
6;0.83116883;0.515498489696787;1e-04;0.7263157963752747;0.1778998076915741
7;0.82947487;0.5049129608810318;1e-04;0.7526316046714783;0.9990234375
8;0.86900055;0.42195729578975094;1e-04;0.7894737124443054;0.4002895951271057
9;0.8610954;0.4073878370524126;1e-04;0.800000011920929;0.4630323052406311
10;0.87859964;0.37608927993165914;1e-04;0.800000011920929;0.7184016108512878
11;0.87408245;0.3856454161114103;1e-04;0.8289473652839661;0.3953424096107483
12;0.88932806;0.3499664339993648;1e-04;0.8421052694320679;0.28205570578575134
13;0.8865048;0.3434000452954105;1e-04;0.8500000238418579;1.2430202960968018
14;0.9028797;0.3070385704129379;1e-04;0.8815789222717285;0.1761329174041748
15;0.9175607;0.26490626225846425;1e-04;0.8763157725334167;0.5615952610969543
16;0.9079616;0.2914823597556854;1e-04;0.8605263233184814;0.37075650691986084
17;0.9322417;0.22735694534592815;1e-04;0.8289473652839661;0.6499940752983093
18;0.91812533;0.24416753889510082;1e-04;0.8500000238418579;0.8808373212814331
19;0.92659515;0.2204613776142351;1e-04;0.800000011920929;1.2745524644851685
20;0.9356296;0.19450287375323588;5e-05;0.8736842274665833;0.08392135798931122
21;0.94353473;0.19322265360666357;5e-05;0.8999999761581421;0.4784465432167053
22;0.95426315;0.16367938079650896;5e-05;0.9026315808296204;0.24210302531719208
23;0.94635797;0.19082180427030815;5e-05;0.8973684310913086;0.1038481816649437
24;0.9508752;0.1557201953096823;5e-05;0.9394736886024475;0.03777720034122467
25;0.95426315;0.1337972897100186;5e-05;0.942105233669281;0.25921493768692017
26;0.95652175;0.12616968191928746;5e-05;0.9368420839309692;0.020409200340509415
27;0.9627329;0.12286510663490925;5e-05;0.9184210300445557;0.2798297703266144
28;0.957651;0.1320279290629335;5e-05;0.9184210300445557;0.012731282971799374
29;0.96386224;0.1337348996671595;5e-05;0.928947389125824;0.28978732228279114
30;0.9570864;0.13655256273415317;5e-05;0.9473684430122375;0.005354284308850765
31;0.9582157;0.13610460714372385;5e-05;0.9263157844543457;0.002917169127613306
32;0.96612084;0.1188752457503711;5e-05;0.9263157844543457;0.016141759231686592
33;0.9570864;0.1457852638252437;5e-05;0.9315789341926575;0.35847076773643494
34;0.96160364;0.12056061528719865;5e-05;0.9368420839309692;0.002605339977890253
35;0.96612084;0.1142927957272745;5e-05;0.9368420839309692;0.14987041056156158
36;0.9678148;0.09307291530354557;2.5e-05;0.928947389125824;0.1406991332769394
37;0.96837944;0.10481680970731544;2.5e-05;0.9473684430122375;0.1090017557144165
38;0.96950877;0.0919175496349087;2.5e-05;0.949999988079071;0.5005168318748474
39;0.9700734;0.10074768877177505;2.5e-05;0.949999988079071;0.45667123794555664
40;0.9728967;0.09550230582005421;2.5e-05;0.9447368383407593;0.2829938530921936
41;0.9774139;0.0811384459384278;2.5e-05;0.9394736886024475;0.028118856251239777
42;0.9666855;0.10793234587750618;2.5e-05;0.9394736886024475;0.6209413409233093
43;0.9757199;0.07710795367387965;2.5e-05;0.9368420839309692;0.01634773053228855
44;0.97684926;0.08131729197130448;1.25e-05;0.9394736886024475;0.0008182002929970622
45;0.9785432;0.0716573091140748;1.25e-05;0.9342105388641357;0.005659853108227253
